Metric, Organic traffic, Organic positions: 1–3, Organic positions: 4–10, SERP Features: Featured snippet (Owned), SERP Features: AI Overview (Owned), SERP Features: Local pack (Owned), SERP Features: Sitelinks (Owned), SERP Features: Top stories (Owned), SERP Features: Image pack (Owned), SERP Features: Videos (Owned), SERP Features: Discussions and forums (Owned), SERP Features: X (Twitter) (Owned), SERP Features: Top ads (Owned), SERP Features: Bottom ads (Owned), SERP Features: Paid sitelinks (Owned), SERP Features: Shopping ads (Owned), SERP Features: Knowledge card (Owned), SERP Features: Knowledge panel (Owned), SERP Features: People also ask (Owned), SERP Features: Thumbnail (Owned), SERP Features: Video preview (Owned), SERP Features: Shopping (Owned), Organic traffic: Branded, Organic traffic: Non-branded, Organic positions by intent: Informational, Organic positions by intent: Navigational, Organic positions by intent: Commercial, Organic positions by intent: Transactional, Organic positions by intent: Branded, Organic positions by intent: Local
Volume, Monthly volume, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, Monthly volume, Monthly volume, -, -, -, -, -, -
Location, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations
2015-06-01, 1279598, 7756, 30574, 0., 0., 0., 3062., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1161511, 118087, 140371, 7284, 76986, 41059, 29356, 90347
2015-06-02, 1280703, 7802, 30902, 0., 0., 0., 3066., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1161883, 118821, 142562, 7404, 78193, 41741, 29813, 91785
2015-06-03, 1281019, 7813, 31008, 0., 0., 0., 3072., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1161923, 119096, 143089, 7439, 78466, 41890, 29922, 92131
2015-06-04, 951295, 7804, 31011, 0., 0., 0., 3081., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 830745, 120550, 143129, 7435, 78463, 41879, 29920, 92139
2015-06-05, 950635, 7804, 31054, 0., 0., 0., 3094., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 825339, 125296, 143198, 7444, 78503, 41903, 29939, 92216
2015-06-06, 934046, 7807, 31086, 0., 0., 0., 3106., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 810844, 123202, 143338, 7456, 78558, 41928, 29967, 92296
2015-06-07, 937924, 7825, 31137, 0., 0., 0., 3114., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 815000, 122924, 143434, 7444, 78611, 41932, 29980, 92450
2015-06-08, 957727, 7848, 31176, 0., 0., 0., 3140., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 834406, 123320, 143545, 7425, 78699, 41963, 29977, 92568
2015-06-09, 1205003, 7889, 31204, 0., 0., 0., 3185., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1081476, 123527, 143793, 7432, 78832, 42014, 30067, 92713
2015-06-10, 961157, 7945, 31243, 0., 0., 0., 3226., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 835657, 125500, 144139, 7472, 79017, 42098, 30217, 92859
2015-06-11, 935204, 7986, 31128, 0., 0., 0., 3232., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 811610, 123594, 144416, 7486, 79143, 42154, 30261, 92992
2015-06-12, 1198513, 8002, 30917, 0., 0., 0., 3230., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1076884, 121629, 144151, 7506, 79067, 42117, 30236, 92752
2015-06-13, 1329632, 7996, 30749, 0., 0., 0., 3225., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1208006, 121626, 143880, 7529, 78966, 42049, 30207, 92498
2015-06-14, 1211421, 7986, 30747, 0., 0., 0., 3225., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1092412, 119009, 143817, 7522, 78939, 42027, 30191, 92469
2015-06-15, 1211703, 7984, 30743, 0., 0., 0., 3204., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1092591, 119112, 143753, 7506, 78919, 42016, 30171, 92434
2015-06-16, 1314441, 7945, 30589, 0., 0., 0., 3204., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1194302, 120139, 143390, 7507, 78829, 41975, 30102, 92130
2015-06-17, 1304641, 7937, 30539, 0., 0., 0., 3218., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1186617, 118024, 143206, 7490, 78776, 41947, 30071, 91988
2015-06-18, 953738, 7946, 30073, 0., 0., 0., 3224., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 837567, 116170, 142329, 7487, 78443, 41751, 29949, 91205
2015-06-19, 1069903, 7924, 29825, 0., 0., 0., 3247., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 954588, 115315, 141732, 7469, 78014, 41411, 29880, 90587
2015-06-20, 1048899, 7851, 29465, 0., 0., 0., 3237., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 934476, 114422, 141070, 7450, 77542, 41158, 29788, 89910
2015-06-21, 1069188, 7838, 29335, 0., 0., 0., 3271., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 954571, 114617, 141120, 7429, 77485, 41130, 29771, 89852
2015-06-22, 1022791, 7855, 29235, 0., 0., 0., 3294., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 907761, 115030, 141321, 7397, 77500, 41140, 29797, 89884
2015-06-23, 1061106, 7873, 29138, 0., 0., 0., 3306., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 946122, 114984, 141339, 7396, 77458, 41135, 29796, 89843
2015-06-24, 944481, 7871, 29265, 0., 0., 0., 3292., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 828922, 115559, 141693, 7389, 77569, 41234, 29883, 90076
2015-06-25, 1017739, 7851, 29306, 0., 0., 0., 3309., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 900735, 117004, 141701, 7346, 77561, 41237, 29824, 90102
2015-06-26, 1102359, 7918, 29820, 0., 0., 0., 3313., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 932715, 169644, 143063, 7368, 78191, 41647, 30047, 91133
2015-06-27, 1073564, 7927, 30112, 0., 0., 0., 3331., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 902273, 171291, 143810, 7375, 78565, 41939, 30169, 91744
2015-06-28, 1007690, 7935, 30138, 0., 0., 0., 3318., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 825930, 181760, 144280, 7364, 78762, 42020, 30238, 92093
2015-06-29, 1105605, 7921, 30193, 0., 0., 0., 3305., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 939825, 165781, 144635, 7336, 78863, 42095, 30279, 92399
2015-06-30, 1118922, 7927, 30150, 0., 0., 0., 3325., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 935868, 183054, 144779, 7286, 78847, 42098, 30271, 92548
2015-07-01, 1262565, 7957, 30148, 0., 0., 0., 3350., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1087829, 174735, 145105, 7287, 78918, 42155, 30299, 92687
2015-07-02, 1375933, 8003, 30175, 0., 0., 0., 3350., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1209966, 165967, 145246, 7289, 78935, 42155, 30335, 92767
2015-07-03, 1376082, 8004, 30172, 0., 0., 0., 3511., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1210209, 165873, 145235, 7287, 78929, 42150, 30333, 92762
2015-07-04, 1379494, 8252, 31092, 0., 0., 0., 3491., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1199355, 180139, 149363, 7475, 82242, 44416, 30880, 95542
2015-07-05, 1351865, 8253, 31194, 0., 0., 0., 3502., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1171423, 180443, 150181, 7502, 82742, 44777, 30994, 96301
2015-07-06, 1103334, 8243, 31320, 0., 0., 0., 3501., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 914704, 188631, 150588, 7518, 82921, 44864, 31058, 96659
2015-07-07, 1127771, 8199, 31186, 0., 0., 0., 3488., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 949394, 178377, 150512, 7519, 82934, 44866, 31023, 96640
2015-07-08, 1371432, 8140, 30865, 0., 0., 0., 3477., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1201105, 170327, 150154, 7515, 82791, 44760, 30936, 96393
2015-07-09, 1380624, 8068, 30676, 0., 0., 0., 3468., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1205074, 175549, 149900, 7499, 82726, 44709, 30834, 96248
2015-07-10, 1330299, 7996, 30455, 0., 0., 0., 3447., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1155014, 175285, 149655, 7496, 82658, 44655, 30760, 96092
2015-07-11, 1346767, 7962, 30332, 0., 0., 0., 3681., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1173082, 173684, 149637, 7499, 82832, 44801, 30676, 96128
2015-07-12, 1337907, 8310, 31533, 0., 0., 0., 3738., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1156380, 181527, 153827, 7633, 86659, 47421, 31009, 99147
2015-07-13, 1385248, 8372, 31795, 0., 0., 0., 3772., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1204197, 181050, 155650, 7670, 88344, 48630, 31124, 100426
2015-07-14, 1356728, 8394, 31792, 0., 0., 0., 3767., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1178165, 178562, 156448, 7692, 89286, 49406, 31142, 100949
2015-07-15, 1356806, 8361, 31667, 0., 0., 0., 3787., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1174676, 182130, 156369, 7686, 89322, 49475, 31123, 100888
2015-07-16, 1264912, 8378, 31666, 0., 0., 0., 3823., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1087335, 177578, 156447, 7670, 89406, 49548, 31120, 100952
2015-07-17, 1264486, 8440, 32001, 0., 0., 0., 3834., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1084895, 179591, 157483, 7694, 90311, 50150, 31229, 101723
2015-07-18, 1379079, 8439, 32051, 0., 0., 0., 3860., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1201090, 177990, 157660, 7682, 90413, 50205, 31249, 101895
2015-07-19, 1381252, 8486, 32208, 0., 0., 0., 3877., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1203080, 178173, 158459, 7680, 91116, 50726, 31306, 102555
2015-07-20, 1363109, 8535, 32232, 0., 0., 0., 3891., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1172219, 190889, 158624, 7667, 91125, 50727, 31351, 102701
2015-07-21, 1394305, 8547, 32392, 0., 0., 0., 3973., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1201488, 192817, 159036, 7662, 91388, 50913, 31412, 103053
2015-07-22, 1273890, 8715, 33092, 0., 0., 0., 4120., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1086906, 186983, 161161, 7711, 93062, 52106, 31634, 104600
2015-07-23, 1272452, 8944, 34017, 0., 0., 0., 4205., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1084756, 187696, 164628, 7739, 96067, 54312, 31918, 107325
2015-07-24, 1272561, 9118, 34928, 0., 0., 0., 4326., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1089812, 182749, 168040, 7792, 99003, 56507, 32222, 109990
2015-07-25, 1389912, 9324, 35920, 0., 0., 0., 4330., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1199156, 190756, 171705, 7875, 102402, 59017, 32518, 112814
2015-07-26, 1390283, 9331, 36007, 0., 0., 0., 4379., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1198825, 191458, 172346, 7890, 102745, 59220, 32676, 113332
2015-07-27, 1392721, 9431, 36262, 0., 0., 0., 4430., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1200120, 192601, 174216, 7942, 104450, 60578, 32854, 114908
2015-07-28, 1353231, 9516, 36729, 0., 0., 0., 4455., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1164010, 189221, 175931, 8003, 105807, 61561, 33085, 116158
2015-07-29, 1271439, 9573, 36867, 0., 0., 0., 4476., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1075524, 195915, 176719, 8007, 106318, 61879, 33207, 116743
2015-07-30, 1258757, 9619, 37053, 0., 0., 0., 4539., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1062803, 195954, 177909, 8034, 107353, 62692, 33368, 117657
2015-07-31, 1249157, 9708, 37437, 0., 0., 0., 4551., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1059997, 189160, 179196, 8060, 108499, 63513, 33471, 118631
2015-08-01, 1014048, 9762, 37619, 0., 0., 0., 4592., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 823248, 190800, 180059, 8065, 109322, 64119, 33538, 119351
2015-08-02, 1255224, 9827, 37844, 0., 0., 0., 4592., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1063496, 191727, 180808, 8056, 109997, 64604, 33570, 119931
2015-08-03, 1012471, 9811, 37951, 0., 0., 0., 4599., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 812721, 199750, 180851, 8032, 109966, 64567, 33558, 119971
2015-08-04, 1282192, 9829, 38019, 0., 0., 0., 4619., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1076936, 205256, 180831, 8005, 109922, 64540, 33536, 119978
2015-08-05, 1284397, 9910, 38397, 0., 0., 0., 4611., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1083598, 200799, 181558, 7992, 110555, 64999, 33545, 120569
2015-08-06, 1013640, 9934, 38429, 0., 0., 0., 4616., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 815718, 197922, 181464, 7935, 110410, 64906, 33491, 120489
2015-08-07, 1395746, 9976, 38543, 0., 0., 0., 4628., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1190491, 205255, 181622, 7902, 110576, 65022, 33433, 120617
2015-08-08, 1022223, 10000, 38620, 0., 0., 0., 4637., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 816405, 205818, 181553, 7889, 110499, 64941, 33382, 120564
2015-08-09, 1269861, 10016, 38596, 0., 0., 0., 4637., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1063504, 206357, 181198, 7829, 110172, 64685, 33313, 120302
2015-08-10, 1286122, 10036, 38614, 0., 0., 0., 4650., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1078865, 207257, 181045, 7812, 109919, 64492, 33306, 120169
2015-08-11, 1010346, 10087, 38666, 0., 0., 0., 4656., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 802701, 207645, 180829, 7792, 109751, 64354, 33261, 119982
2015-08-12, 1008474, 10117, 38677, 0., 0., 0., 4646., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 799194, 209280, 180702, 7794, 109606, 64252, 33248, 119817
2015-08-13, 1120556, 10119, 38677, 0., 0., 0., 4651., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 919096, 201460, 180446, 7787, 109371, 64100, 33249, 119600
2015-08-14, 1000293, 10153, 38667, 0., 0., 0., 4645., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 798285, 202008, 180092, 7778, 109076, 63857, 33221, 119292
2015-08-15, 1143008, 10168, 38713, 0., 0., 0., 4645., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 934594, 208414, 179737, 7744, 108836, 63662, 33161, 119031
2015-08-16, 1132732, 10189, 38731, 0., 0., 0., 4647., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 924205, 208527, 179756, 7738, 108811, 63632, 33168, 119029
2015-08-17, 1145121, 10214, 38765, 0., 0., 0., 4653., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 936086, 209035, 179844, 7752, 108784, 63593, 33208, 119034
2015-08-18, 1132593, 10226, 38883, 0., 0., 0., 4649., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 922004, 210589, 179909, 7766, 108690, 63530, 33291, 118993
2015-08-19, 1134905, 10258, 39037, 0., 0., 0., 4657., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 922177, 212728, 180220, 7782, 108738, 63558, 33388, 119117
2015-08-20, 1100073, 10350, 39167, 0., 0., 0., 4682., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 891810, 208263, 180465, 7777, 108761, 63541, 33461, 119214
2015-08-21, 1113882, 10437, 39361, 0., 0., 0., 4678., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 904877, 209005, 180913, 7784, 108899, 63596, 33563, 119476
2015-08-22, 1127910, 10496, 39553, 0., 0., 0., 4702., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 919397, 208514, 181215, 7758, 108930, 63567, 33631, 119655
2015-08-23, 1131205, 10593, 39715, 0., 0., 0., 4713., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 922161, 209044, 181642, 7768, 109081, 63627, 33730, 119927
2015-08-24, 1132387, 10648, 39859, 0., 0., 0., 4717., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 925025, 207362, 181884, 7731, 109150, 63644, 33740, 120116
2015-08-25, 1103534, 10729, 40094, 0., 0., 0., 4734., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 892813, 210721, 182325, 7745, 109298, 63749, 33853, 120336
2015-08-26, 1106998, 10724, 40123, 0., 0., 0., 4748., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 890638, 216360, 182422, 7743, 109348, 63755, 33850, 120371
2015-08-27, 1105187, 10822, 40301, 0., 0., 0., 4753., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 900120, 205067, 182987, 7731, 109406, 63751, 33948, 120718
2015-08-28, 1104950, 10890, 40511, 0., 0., 0., 4752., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 898658, 206292, 183500, 7741, 109511, 63784, 34049, 121015
2015-08-29, 1104792, 10917, 40624, 0., 0., 0., 4762., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 897698, 207094, 183846, 7728, 109611, 63811, 34082, 121245
2015-08-30, 1111428, 10938, 40733, 0., 0., 0., 4758., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 898234, 213194, 184053, 7719, 109647, 63832, 34104, 121383
2015-08-31, 1117639, 10934, 40716, 0., 0., 0., 4777., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 902281, 215358, 184093, 7719, 109656, 63840, 34125, 121395
2015-09-01, 1116513, 11012, 40887, 0., 0., 0., 4757., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 899993, 216520, 184837, 7736, 109940, 63954, 34249, 121849
2015-09-02, 1318647, 11070, 40990, 0., 0., 0., 4726., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1102258, 216389, 185264, 7722, 109952, 63896, 34324, 122051
2015-09-03, 1039738, 11122, 41074, 0., 0., 0., 4742., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 823003, 216736, 185624, 7719, 109960, 63809, 34423, 122236
2015-09-04, 1039754, 11208, 41172, 0., 0., 0., 4737., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 822639, 217116, 186066, 7706, 110094, 63810, 34478, 122442
2015-09-05, 1155862, 11244, 41322, 0., 0., 0., 4732., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 941930, 213933, 186387, 7707, 110127, 63824, 34592, 122546
2015-09-06, 1156073, 11306, 41464, 0., 0., 0., 4762., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 940434, 215639, 186723, 7712, 110175, 63788, 34686, 122692
2015-09-07, 1156688, 11389, 41581, 0., 0., 0., 4755., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 941688, 215000, 186828, 7668, 110100, 63607, 34672, 122692
2015-09-08, 1153443, 11408, 41597, 0., 0., 0., 4749., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 936561, 216882, 186861, 7658, 110138, 63619, 34660, 122697
2015-09-09, 1150812, 11462, 41662, 0., 0., 0., 4754., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 937465, 213347, 187012, 7671, 110086, 63556, 34742, 122737
2015-09-10, 1146994, 11488, 41723, 0., 0., 0., 4783., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 930052, 216942, 187104, 7643, 110058, 63530, 34749, 122764
2015-09-11, 1147074, 11611, 41795, 0., 0., 0., 4778., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 929631, 217443, 187147, 7630, 109988, 63420, 34767, 122736
2015-09-12, 1148107, 11614, 41812, 0., 0., 0., 4764., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 930759, 217348, 187143, 7644, 110005, 63426, 34812, 122697
2015-09-13, 1160119, 11668, 41843, 0., 0., 0., 4773., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 937228, 222891, 187160, 7636, 109916, 63326, 34845, 122632
2015-09-14, 1164633, 11708, 41915, 0., 0., 0., 4780., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 946392, 218241, 187180, 7624, 109805, 63211, 34856, 122529
2015-09-15, 1422622, 11763, 41964, 0., 0., 0., 4804., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1198444, 224178, 187269, 7638, 109772, 63152, 34925, 122457
2015-09-16, 1150095, 11806, 41936, 0., 0., 0., 4813., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 932149, 217946, 187233, 7621, 109669, 63082, 34933, 122390
2015-09-17, 1411854, 11849, 41963, 0., 0., 0., 4836., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1193458, 218396, 187057, 7579, 109544, 62983, 34871, 122207
2015-09-18, 1035944, 11871, 41975, 0., 0., 0., 4856., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 815427, 220517, 186931, 7556, 109420, 62871, 34854, 122078
2015-09-19, 1035190, 11905, 42026, 0., 0., 0., 4860., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 815041, 220150, 186970, 7553, 109376, 62821, 34861, 122060
2015-09-20, 1147082, 11929, 42022, 0., 0., 0., 4862., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 926313, 220770, 186970, 7524, 109296, 62743, 34879, 121986
2015-09-21, 1163954, 11946, 42059, 0., 0., 0., 4866., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 942376, 221578, 186928, 7499, 109246, 62688, 34897, 121958
2015-09-22, 1305253, 11955, 42090, 0., 0., 0., 4872., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1089135, 216119, 187066, 7469, 109253, 62666, 34902, 122062
2015-09-23, 1411106, 11983, 42114, 0., 0., 0., 4878., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1190050, 221056, 187117, 7441, 109208, 62629, 34905, 122084
2015-09-24, 1114300, 12022, 42127, 0., 0., 0., 4895., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 900773, 213526, 187353, 7417, 109243, 62623, 34966, 122185
2015-09-25, 1033231, 12060, 42085, 0., 0., 0., 4896., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 827112, 206119, 187545, 7421, 109308, 62637, 34978, 122262
2015-09-26, 1120538, 12069, 42119, 0., 0., 0., 4918., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 907093, 213445, 187849, 7414, 109373, 62666, 35016, 122443
2015-09-27, 1382347, 12120, 42154, 0., 0., 0., 4911., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 1171580, 210767, 188262, 7442, 109509, 62750, 35118, 122655
2015-09-28, 1164889, 12143, 42189, 0., 0., 0., 4900., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 947261, 217627, 188722, 7449, 109577, 62745, 35232, 122907
